file,SSIM,ΔE00,LPIPS,Ref_paths,Pip_paths,Ref_cmds,Pip_cmds,Ref_gzip,Pip_gzip,Size_Reduction
126,0.16207327823264506,30.28381634913427,0.6739797592163086,321,0,1644453,0,341360,3012,99.11764705882354
127,0.24581517025472027,31.931299394445503,0.5970521569252014,163,0,746070,0,152150,2894,98.09792967466316
128,0.3025043087702637,29.367968479884308,0.5807222127914429,223,0,1178603,0,254046,877,99.65478692835156
129,0.2134642738157374,31.92941904250678,0.6682958602905273,362,0,2323504,0,441663,1629,99.63116674930886
130,0.25813545201080756,28.66834137897831,0.567390501499176,90,0,327503,0,61748,1270,97.94325322277645
131,0.24276106743504078,31.79168437757127,0.5775458216667175,49,0,144999,0,22567,1269,94.37674480436034
132,0.22204684268777933,30.742554122546885,0.6521608829498291,309,0,1894890,0,340530,1393,99.59093178280915
133,0.07700763422492247,33.24398237566627,0.7087083458900452,465,0,1641102,0,309668,2824,99.08805559502434
134,0.16930594772526641,31.864050586519372,0.665959358215332,368,0,2500393,0,446632,2282,99.48906482294149
135,0.18686548466532127,32.64356314551615,0.6497328281402588,263,0,1762663,0,335226,2100,99.37355694367382
136,0.3233902683027899,28.54812744118213,0.5665938854217529,133,0,1555339,0,178233,1266,99.28969382774234
137,0.31767164791821717,30.486411453227536,0.5271589756011963,108,0,604031,0,107469,1057,99.01646056071984
138,0.27342206700157434,31.602096137586884,0.5791587829589844,149,0,1088804,0,193445,898,99.53578536534933
139,0.23408975781598337,31.492485008862552,0.6204692721366882,146,0,752518,0,150322,1525,98.98551110283259
140,0.3184029850205888,27.910428337243765,0.522943913936615,73,0,182596,0,34321,795,97.68363392675039
141,0.31735822817379,25.07211225903194,0.5470547080039978,95,0,340561,0,61897,1377,97.77533644603132
142,0.33682356400122754,29.498127316337655,0.5147305727005005,44,0,190787,0,28145,1615,94.26185823414461
143,0.19481704399489486,30.5939089668435,0.58026123046875,156,0,688180,0,120713,1495,98.76152527068336
144,0.2130279642277296,31.611092951692235,0.6514828205108643,320,0,1768766,0,332660,1481,99.55480069740877
145,0.26742421963271923,27.838658590203234,0.5910049080848694,75,0,349163,0,57294,1294,97.74147380179426
146,0.19706436041963457,32.62422766410514,0.6536064743995667,248,0,1269433,0,248674,2252,99.09439667999067
147,0.09440474316224064,36.267709243484745,0.6702834367752075,239,0,1353755,0,257958,2714,98.94789074190372
148,0.3217507861731811,27.24461095022666,0.5546748638153076,62,0,188425,0,36032,1142,96.83059502664298
149,0.288462130966078,30.94023114759838,0.5815744400024414,230,0,1442963,0,273482,1335,99.51185087135534
150,0.15500671447300013,34.93945228727218,0.6578541398048401,336,0,1841537,0,336429,2833,99.15792039330735
151,0.26410024708898766,29.01211710978001,0.5962801575660706,299,0,1517650,0,307684,891,99.71041718126389
152,0.026958482300575286,38.596988161442894,0.7157847881317139,274,0,1538270,0,282134,3501,98.75910028567986
153,0.2856461149744224,30.897313295445826,0.5803359746932983,174,0,1112889,0,212703,1462,99.31265661509241
154,0.23883988778857557,33.18220826140484,0.6290563344955444,224,0,1110271,0,212696,1312,99.38315718208148
155,0.29302622719904103,33.23350667462451,0.5957254767417908,129,0,748815,0,133833,942,99.29613772387977
156,0.26518529839584376,33.256029413152675,0.6490976810455322,299,0,1751216,0,316247,1492,99.52821686846042
157,0.2618473775069777,32.50930917646167,0.6375324130058289,346,0,1943068,0,374702,2107,99.43768648152398
158,0.3155012185904973,27.3082220843441,0.5528790950775146,79,0,378653,0,57849,1451,97.49174575187125
159,0.29272516132253107,30.71844779782013,0.5967572331428528,150,0,781203,0,140293,1368,99.02489789226833
160,0.21189597236069607,33.21420651622631,0.6410168409347534,449,0,2664634,0,515681,1865,99.6383423085202
161,0.3109709029471099,29.60188536168975,0.505031168460846,138,0,834506,0,136067,1108,99.18569528247113
162,0.2969195642253314,31.41435703795792,0.5798009037971497,251,0,1196221,0,215278,1827,99.1513299083046
163,0.3268807874733568,29.970479508818737,0.5293908715248108,61,0,102720,0,21077,871,95.86753333017033
164,0.20145147368028793,32.62901003542026,0.6562584638595581,303,0,1970767,0,355998,1798,99.49494098281451
165,0.23172496070962953,29.899918040631956,0.6598262190818787,297,0,2097091,0,409966,1458,99.64436075186723
166,0.22751179979587757,29.965645819326685,0.6634568572044373,340,0,2037823,0,395792,1573,99.60256902615515
167,0.30251706346715657,32.20481924458659,0.5574926137924194,144,0,1116294,0,182503,708,99.61206117159718
168,0.22575861279566256,30.617593985042497,0.6080226302146912,293,0,1466543,0,269938,2482,99.08052960309405
169,0.28694247596369765,28.997730715546588,0.5646786093711853,89,0,220603,0,31368,1401,95.53366488140782
170,0.2296617111187073,33.588501526086745,0.7193288803100586,229,0,2804909,0,409667,2887,99.29528128943753
171,0.26282366192162465,32.05173079286628,0.6165516972541809,178,0,1132198,0,194170,1586,99.18318998815471
172,0.22482260240795937,28.0939749363914,0.5860774517059326,261,0,1768565,0,284451,1845,99.35138213611484
173,0.30000827517033185,30.205272766750866,0.5965695977210999,189,0,1267716,0,237299,2002,99.15633862763855
174,0.1722079764221309,34.91465884220691,0.669238269329071,340,0,1648929,0,345796,2643,99.23567652604426
175,0.24653589105067078,32.27260825254397,0.6522971987724304,385,0,2293781,0,449119,1536,99.65799710099105
176,0.09593454018098681,34.62145656754174,0.6708164215087891,290,0,1464331,0,321129,3071,99.0436864935898
